dataname,Name,Competition,NumberSteps,Jump,Height cleared,Height,Cleared,Foot Plant Step 1,Foot Plant Step 2,Foot Plant Step 3,Foot Plant Step 4,Foot Plant Step 5,Foot Plant Step 6,Foot Plant Step 7,Foot Plant Step 8,Foot Plant Step 9,Foot Plant Take-Off,Contact Time 3rd last,Contact Time 2nd last,Contact Time last,Step Time Step 1,Step Time Step 2,Step Time Step 3,Step Time Step 4,Step Time Step 5,Step Time Step 6,Step Time Step 7,Step Time Step 8,Step Time Step 9,Cadencev1Avg,Cadencev1 Step 1,Cadencev1 Step 2,Cadencev1 Step 3,Cadencev1 Step 4,Cadencev1 Step 5,Cadencev1 Step 6,Cadencev1 Step 7,Cadencev1 Step 8,Cadencev1 Step 9,Cadencev2Avg,Cadencev2 Step 1,Cadencev2 Step 2,Cadencev2 Step 3,Cadencev2 Step 4,Cadencev2 Step 5,Cadencev2 Step 6,Cadencev2 Step 7,Cadencev2 Step 8,Cadencev2 Step 9
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,1,1.80 O,1.8,Y,0,0.61,1.075,1.58,1.92,2.31,2.64,2.96,3.28,3.47,0.15,0.14,0.17,0.61,0.465,0.505,0.34,0.39,0.33,0.32,0.32,0.19,2.88184438,1.639344262,1.860465116,1.898734177,2.083333333,2.164502165,2.272727273,2.364864865,2.43902439,2.593659942,2.88184438,1.639344262,2.150537634,1.98019802,2.941176471,2.564102564,3.03030303,3.125,3.125,5.263157895
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,2,1.85 O,1.85,Y,0,0.62,1.11,1.6,1.97,2.35,2.68,2.98,3.29,3.48,0.15,0.14,0.17,0.62,0.49,0.49,0.37,0.38,0.33,0.3,0.31,0.19,2.873563218,1.612903226,1.801801802,1.875,2.030456853,2.127659574,2.23880597,2.348993289,2.431610942,2.586206897,2.873563218,1.612903226,2.040816327,2.040816327,2.702702703,2.631578947,3.03030303,3.333333333,3.225806452,5.263157895
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,3,1.88 O,1.88,Y,0,0.62,1.105,1.585,1.92,2.28,2.63,2.92,3.24,3.42,0.155,0.14,0.17,0.62,0.485,0.48,0.335,0.36,0.35,0.29,0.32,0.18,2.923976608,1.612903226,1.809954751,1.892744479,2.083333333,2.192982456,2.281368821,2.397260274,2.469135802,2.631578947,2.923976608,1.612903226,2.06185567,2.083333333,2.985074627,2.777777778,2.857142857,3.448275862,3.125,5.555555556
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,4,1.91 O,1.91,Y,0,0.615,1.105,1.6,1.99,2.38,2.705,2.995,3.3,3.48,0.155,0.14,0.18,0.615,0.49,0.495,0.39,0.39,0.325,0.29,0.305,0.18,2.873563218,1.62601626,1.809954751,1.875,2.010050251,2.100840336,2.218114603,2.337228715,2.424242424,2.586206897,2.873563218,1.62601626,2.040816327,2.02020202,2.564102564,2.564102564,3.076923077,3.448275862,3.278688525,5.555555556
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,5,1.94 O,1.94,Y,0,0.58,1.08,1.54,1.925,2.29,2.61,2.9,3.21,3.395,0.15,0.14,0.175,0.58,0.5,0.46,0.385,0.365,0.32,0.29,0.31,0.185,2.9455081,1.724137931,1.851851852,1.948051948,2.077922078,2.183406114,2.298850575,2.413793103,2.492211838,2.65095729,2.9455081,1.724137931,2,2.173913043,2.597402597,2.739726027,3.125,3.448275862,3.225806452,5.405405405
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,6,1.96 X,1.96,N,0,0.63,1.11,1.59,1.97,2.345,2.67,2.94,3.25,3.43,0.15,0.14,0.17,0.63,0.48,0.48,0.38,0.375,0.325,0.27,0.31,0.18,2.915451895,1.587301587,1.801801802,1.886792453,2.030456853,2.132196162,2.247191011,2.380952381,2.461538462,2.623906706,2.915451895,1.587301587,2.083333333,2.083333333,2.631578947,2.666666667,3.076923077,3.703703704,3.225806452,5.555555556
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,7,1.96 XX,1.96,N,0,0.625,1.125,1.6,1.96,2.34,2.65,2.95,3.24,3.435,0.15,0.145,0.175,0.625,0.5,0.475,0.36,0.38,0.31,0.3,0.29,0.195,2.911208151,1.6,1.777777778,1.875,2.040816327,2.136752137,2.264150943,2.372881356,2.469135802,2.620087336,2.911208151,1.6,2,2.105263158,2.777777778,2.631578947,3.225806452,3.333333333,3.448275862,5.128205128
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,8,1.96 XO,1.96,Y,0,0.605,1.1,1.545,1.88,2.24,2.58,2.87,3.2,3.39,0.16,0.14,0.18,0.605,0.495,0.445,0.335,0.36,0.34,0.29,0.33,0.19,2.949852507,1.652892562,1.818181818,1.941747573,2.127659574,2.232142857,2.325581395,2.43902439,2.5,2.654867257,2.949852507,1.652892562,2.02020202,2.247191011,2.985074627,2.777777778,2.941176471,3.448275862,3.03030303,5.263157895
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,9,1.98 X,1.98,N,0,0.62,1.08,1.54,1.89,2.25,2.59,2.89,3.21,3.38,0.15,0.14,0.19,0.62,0.46,0.46,0.35,0.36,0.34,0.3,0.32,0.17,2.958579882,1.612903226,1.851851852,1.948051948,2.116402116,2.222222222,2.316602317,2.422145329,2.492211838,2.662721893,2.958579882,1.612903226,2.173913043,2.173913043,2.857142857,2.777777778,2.941176471,3.333333333,3.125,5.882352941
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,10,1.98 XX,1.98,N,0,0.615,1.105,1.56,1.91,2.28,2.6,2.885,3.2,3.38,0.155,0.13,0.17,0.615,0.49,0.455,0.35,0.37,0.32,0.285,0.315,0.18,2.958579882,1.62601626,1.809954751,1.923076923,2.094240838,2.192982456,2.307692308,2.426343154,2.5,2.662721893,2.958579882,1.62601626,2.040816327,2.197802198,2.857142857,2.702702703,3.125,3.50877193,3.174603175,5.555555556
Nicola McDermott_CanberraTrackClassic2020,NM,CanberraTrackClassic2020,10,11,1.98 XXX,1.98,N,0,0.63,1.09,1.54,1.88,2.26,2.595,2.9,3.215,3.4,0.15,0.135,0.17,0.63,0.46,0.45,0.34,0.38,0.335,0.305,0.315,0.185,2.941176471,1.587301587,1.834862385,1.948051948,2.127659574,2.212389381,2.312138728,2.413793103,2.488335925,2.647058824,2.941176471,1.587301587,2.173913043,2.222222222,2.941176471,2.631578947,2.985074627,3.278688525,3.174603175,5.405405405
