dataname,Name,Competition,NumberSteps,Jump,Height cleared,Height,Cleared,Foot Plant Step 1,Foot Plant Step 2,Foot Plant Step 3,Foot Plant Step 4,Foot Plant Step 5,Foot Plant Step 6,Foot Plant Step 7,Foot Plant Step 8,Foot Plant Step 9,Foot Plant Take-Off,Contact Time 3rd last,Contact Time 2nd last,Contact Time last,Step Time Step 1,Step Time Step 2,Step Time Step 3,Step Time Step 4,Step Time Step 5,Step Time Step 6,Step Time Step 7,Step Time Step 8,Step Time Step 9,Cadencev1Avg,Cadencev1 Step 1,Cadencev1 Step 2,Cadencev1 Step 3,Cadencev1 Step 4,Cadencev1 Step 5,Cadencev1 Step 6,Cadencev1 Step 7,Cadencev1 Step 8,Cadencev1 Step 9,Cadencev2Avg,Cadencev2 Step 1,Cadencev2 Step 2,Cadencev2 Step 3,Cadencev2 Step 4,Cadencev2 Step 5,Cadencev2 Step 6,Cadencev2 Step 7,Cadencev2 Step 8,Cadencev2 Step 9
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,1,1.86 X,1.86,N,0,0.58,1.09,1.57,1.95,2.33,2.65,2.92,3.24,3.42,0.155,0.15,0.18,0.58,0.51,0.48,0.38,0.38,0.32,0.27,0.32,0.18,2.923976608,1.724137931,1.834862385,1.910828025,2.051282051,2.145922747,2.264150943,2.397260274,2.469135802,2.631578947,2.923976608,1.724137931,1.960784314,2.083333333,2.631578947,2.631578947,3.125,3.703703704,3.125,5.555555556
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,2,1.86 XO,1.86,Y,0,0.597777778,1.081111111,1.525555556,1.875555556,2.255,2.595,2.875,3.185,3.365,0.155,0.14,0.185,0.597777778,0.483333333,0.444444445,0.35,0.379444445,0.34,0.28,0.31,0.18,2.971768202,1.672862453,1.849948613,1.966496723,2.132701422,2.2172949,2.312138728,2.434782609,2.51177394,2.674591382,2.971768202,1.672862453,2.068965519,2.25,2.857142857,2.635431918,2.941176471,3.571428571,3.225806452,5.555555556
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,3,1.90 X,1.9,N,0,0.58,1.09,1.55,1.9,2.26,2.59,2.88,3.2,3.39,0.155,0.14,0.175,0.58,0.51,0.46,0.35,0.36,0.33,0.29,0.32,0.19,2.949852507,1.724137931,1.834862385,1.935483871,2.105263158,2.212389381,2.316602317,2.430555556,2.5,2.654867257,2.949852507,1.724137931,1.960784314,2.173913043,2.857142857,2.777777778,3.03030303,3.448275862,3.125,5.263157895
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,4,1.90 XO,1.9,Y,0,0.58,1.06,1.52,1.86,2.24,2.555,2.84,3.14,3.32,0.15,0.14,0.18,0.58,0.48,0.46,0.34,0.38,0.315,0.285,0.3,0.18,3.012048193,1.724137931,1.886792453,1.973684211,2.150537634,2.232142857,2.348336595,2.464788732,2.547770701,2.710843373,3.012048193,1.724137931,2.083333333,2.173913043,2.941176471,2.631578947,3.174603175,3.50877193,3.333333333,5.555555556
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,5,1.93 O,1.93,Y,0,0.63,1.12,1.57,1.94,2.305,2.63,2.9,3.21,3.39,0.15,0.13,0.185,0.63,0.49,0.45,0.37,0.365,0.325,0.27,0.31,0.18,2.949852507,1.587301587,1.785714286,1.910828025,2.06185567,2.169197397,2.281368821,2.413793103,2.492211838,2.654867257,2.949852507,1.587301587,2.040816327,2.222222222,2.702702703,2.739726027,3.076923077,3.703703704,3.225806452,5.555555556
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,6,1.96 X,1.96,N,0,0.62,1.07,1.55,1.89,2.25,2.565,2.85,3.165,3.37,0.16,0.155,0.17,0.62,0.45,0.48,0.34,0.36,0.315,0.285,0.315,0.205,2.96735905,1.612903226,1.869158879,1.935483871,2.116402116,2.222222222,2.339181287,2.456140351,2.52764613,2.670623145,2.96735905,1.612903226,2.222222222,2.083333333,2.941176471,2.777777778,3.174603175,3.50877193,3.174603175,4.87804878
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,7,1.96 XX,1.96,N,0,0.58,1.06,1.5,1.85,2.22,2.535,2.85,3.16,3.35,0.15,0.145,0.19,0.58,0.48,0.44,0.35,0.37,0.315,0.315,0.31,0.19,2.985074627,1.724137931,1.886792453,2,2.162162162,2.252252252,2.366863905,2.456140351,2.53164557,2.686567164,2.985074627,1.724137931,2.083333333,2.272727273,2.857142857,2.702702703,3.174603175,3.174603175,3.225806452,5.263157895
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,8,1.96 XXO,1.96,Y,0,0.59,1.105,1.46,1.81,2.16,2.5,2.79,3.105,3.28,0.15,0.135,0.185,0.59,0.515,0.355,0.35,0.35,0.34,0.29,0.315,0.175,3.048780488,1.694915254,1.809954751,2.054794521,2.209944751,2.314814815,2.4,2.508960573,2.576489533,2.743902439,3.048780488,1.694915254,1.941747573,2.816901408,2.857142857,2.857142857,2.941176471,3.448275862,3.174603175,5.714285714
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,9,1.99 X,1.99,N,0,0.59,1.05,1.5,1.86,2.22,2.55,2.855,3.17,3.38,0.145,0.135,0.185,0.59,0.46,0.45,0.36,0.36,0.33,0.305,0.315,0.21,2.958579882,1.694915254,1.904761905,2,2.150537634,2.252252252,2.352941176,2.451838879,2.523659306,2.662721893,2.958579882,1.694915254,2.173913043,2.222222222,2.777777778,2.777777778,3.03030303,3.278688525,3.174603175,4.761904762
Nicola McDermott_WellingtonCapitalClassic2020,NM,WellingtonCapitalClassic2020,10,10,1.99 XX,1.99,N,0,0.61,1.095,1.53,1.88,2.23,2.555,2.84,3.145,3.33,0.145,0.135,0.17,0.61,0.485,0.435,0.35,0.35,0.325,0.285,0.305,0.185,3.003003003,1.639344262,1.826484018,1.960784314,2.127659574,2.242152466,2.348336595,2.464788732,2.543720191,2.702702703,3.003003003,1.639344262,2.06185567,2.298850575,2.857142857,2.857142857,3.076923077,3.50877193,3.278688525,5.405405405
